City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,dunedin,-45.8742,170.5036,13.22,80,100,1.34,NZ,1699850558
83,new norfolk,-42.7826,147.0587,22.72,35,14,4.62,AU,1699850558
84,ma'rib,15.4591,45.3253,22.8,37,56,2.19,YE,1699850558
85,marina di cerveteri,41.98,12.0529,11.92,82,31,1.96,IT,1699850559
86,port alfred,-33.5906,26.891,16.21,82,87,1.34,ZA,1699850559
87,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,74,40,12.52,RU,1699850559
88,invercargill,-46.4,168.35,11.12,89,100,4.02,NZ,1699850559
89,dawei,14.0833,98.2,33.35,51,100,3.18,MM,1699850559
90,sodra sandby,56.5667,16.6167,3.27,90,46,3.64,SE,1699850559
91,hithadhoo,-0.6,73.0833,27.13,80,96,3.17,MV,1699850560
92,nemuro,43.3236,145.575,5.17,42,28,2.22,JP,1699850560
93,pereslavl'-zalesskiy,56.7393,38.8563,3.43,96,100,4.52,RU,1699850560
94,inarajan village,13.2736,144.7484,32.54,83,22,7.64,GU,1699850560
95,vadso,70.0744,29.7487,-4.91,86,40,2.57,NO,1699850560
96,cam ranh,11.9214,109.1591,29.98,70,40,4.63,VN,1699850560
97,olonkinbyen,70.9221,-8.7187,-3.17,68,100,2.61,SJ,1699850560
98,nar'yan-mar,67.6713,53.087,-11.61,94,44,2.24,RU,1699850560
99,lompoc,34.6391,-120.4579,13.08,82,0,3.6,US,1699850458
100,boguchany,58.3814,97.4531,-3.13,90,100,2.11,RU,1699850561
101,pembroke,45.8168,-77.1162,-6.01,89,22,1.9,CA,1699850466
102,tazovsky,67.4667,78.7,-6.13,93,88,8.34,RU,1699850561
103,suwayr,30.1171,40.3893,17.52,32,85,2.22,SA,1699850561
104,hermanus,-34.4187,19.2345,15.28,81,23,4.8,ZA,1699850561
105,tobruk,32.0836,23.9764,19.89,74,2,2.23,LY,1699850561
106,santa ana de yacuma,-13.75,-65.4333,28.36,60,70,3.16,BO,1699850561
107,aras-asan,8.8908,126.3033,30.24,68,36,4.31,PH,1699850561
108,hawaiian paradise park,19.5933,-154.9731,22.8,94,100,2.06,US,1699850562
109,akrehamn,59.2667,5.1833,6.34,87,75,3.09,NO,1699850562
110,neustadt,49.7117,12.0872,4.06,92,100,0.45,DE,1699850562
111,sarmiento,-45.5882,-69.07,8.43,51,1,13.37,AR,1699850562
112,oume,35.7839,139.2431,15.59,30,0,7.2,JP,1699850562
113,katabu,-4.9333,122.5167,34.38,42,83,2.35,ID,1699850562
114,arkhangel'sk,64.5401,40.5433,-6.6,90,71,5.11,RU,1699850562
115,udachny,66.4167,112.4,-11.97,84,100,3.53,RU,1699850562
116,levuka,50.1834,-105.4011,-1.16,60,7,2.6,CA,1699850563
117,san julian,21.0167,-102.1667,16.46,64,56,1.84,MX,1699850563
118,badger,64.8,-147.5333,-9.45,89,20,0.0,US,1699850563
119,ola,59.5833,151.2833,-10.95,61,100,5.25,RU,1699850563
120,bumba,2.1833,22.4667,21.08,97,98,0.35,CD,1699850563
121,salta,-24.7859,-65.4117,22.33,73,75,4.63,AR,1699850313
122,czluchow,53.6672,17.3588,4.71,87,100,3.02,PL,1699850448
123,auki,-8.7676,160.7034,27.8,74,100,1.19,SB,1699850563
124,iskateley,67.6803,53.1512,-11.66,94,45,2.24,RU,1699850564
125,saldanha,-33.0117,17.9442,12.03,80,20,6.04,ZA,1699850564
126,port augusta,-32.5,137.7667,27.83,25,99,7.23,AU,1699850564
127,paphos,34.7667,32.4167,16.88,72,86,4.12,CY,1699850564
128,boa vista,2.8197,-60.6733,27.99,65,0,3.6,BR,1699850564
129,jeddah,21.5169,39.2192,27.92,61,20,1.03,SA,1699850564
130,yemel'yanovo,56.1681,92.6767,3.45,70,40,3.0,RU,1699850564
131,kapuskasing,49.4169,-82.4331,2.0,93,100,7.2,CA,1699850342
132,daru,-9.0763,143.2092,28.03,65,65,4.24,PG,1699850565
133,papatowai,-46.5619,169.4708,10.69,96,100,1.32,NZ,1699850565
134,hirado,33.3597,129.5531,12.44,51,27,6.33,JP,1699850565
135,holualoa,19.6228,-155.9522,24.91,85,75,2.57,US,1699850565
136,thunder bay,48.4001,-89.3168,5.99,81,75,4.12,CA,1699850565
137,villa del totoral,-30.8167,-63.7167,13.6,30,0,6.14,AR,1699850565
138,al wajh,26.2455,36.4525,24.97,61,0,0.0,SA,1699850565
139,jutai,-5.1833,-68.9,23.62,94,13,1.02,BR,1699850566
140,keflavik,64.0049,-22.5624,3.95,65,0,9.26,IS,1699850566
141,kill devil hills,36.0307,-75.676,12.77,72,0,6.69,US,1699850353
142,savanna-la-mar,18.219,-78.1332,26.97,88,32,1.79,JM,1699850566
143,okha,53.5739,142.9478,-3.02,73,99,5.73,RU,1699850566
144,georgetown,5.4112,100.3354,31.97,66,20,3.6,MY,1699850566
145,avarua,-21.2078,-159.775,22.03,68,99,5.14,CK,1699850559
146,kailua-kona,19.6406,-155.9956,26.98,86,75,2.57,US,1699850420
147,sao joao del rei,-21.1356,-44.2617,21.59,57,38,1.24,BR,1699850567
148,el coacoyul,17.6167,-101.4333,25.87,85,38,1.95,MX,1699850567
149,serendah,3.3646,101.6041,33.6,95,86,3.13,MY,1699850567
150,susuman,62.7833,148.1667,-29.73,98,90,0.28,RU,1699850567
151,chaparral,3.7232,-75.4832,20.02,87,89,2.42,CO,1699850567
152,enewetak,11.3474,162.3373,27.79,81,100,6.94,MH,1699850567
153,sur,22.5667,59.5289,27.17,43,88,4.23,OM,1699850567
154,broken hill,-31.95,141.4333,29.95,15,44,4.9,AU,1699850272
